Repo Name,URL,Category,Category,,Sub Category,Parent Category,,,
petermartens98/satGPT,https://github.com/petermartens98/satGPT,chatbot/assistant,Software Development,,health app,Domain-Specific Applications,,,
oscaem/debug50,https://github.com/oscaem/debug50,research,Learning & Research,,resume generator,Domain-Specific Applications,,,
orgexyz/BlockAGI,https://github.com/orgexyz/BlockAGI,agent,Software Development,,toolkit,Software Development,,,
solygambas/python-openai-projects,https://github.com/solygambas/python-openai-projects,examples,Learning & Research,,security app,Domain-Specific Applications,,,
microsoft/autogen,https://github.com/microsoft/autogen,agent api,Software Development,,voice assistant,Software Development,,,
microsoft/CoML,https://github.com/microsoft/CoML,agent api,Software Development,,job matching app,Domain-Specific Applications,,,
malcolmk181/athena,https://github.com/malcolmk181/athena,library/plugin,Software Development,,document app,Software Development,,,
ma2za/telegram-llm-bot,https://github.com/ma2za/telegram-llm-bot,IM chatbot,Software Development,,mental health app,Domain-Specific Applications,,,
log10-io/log10,https://github.com/log10-io/log10,library/plugin,Software Development,,tutorial,Learning & Research,,,
definitive-io/human-eval-sampling-benchmark,https://github.com/definitive-io/human-eval-sampling-benchmark,research,Learning & Research,,backend api,Software Development,,,
shamspias/langchain-chat,https://github.com/shamspias/langchain-chat,chatbot/assistant,Software Development,,travel app,Domain-Specific Applications,,,
daveebbelaar/langchain-experiments,https://github.com/daveebbelaar/langchain-experiments,examples,Learning & Research,,entertainment app,Domain-Specific Applications,,,
combinatrix-ai/PromptTrail,https://github.com/combinatrix-ai/PromptTrail,library/plugin,Software Development,,music app,Domain-Specific Applications,,,
Leo310/papa-backend,https://github.com/Leo310/papa-backend,chatbot/assistant,Software Development,,geography app,Domain-Specific Applications,,,
Kav-K/GPTDiscord,https://github.com/Kav-K/GPTDiscord,chatbot/assistant,Software Development,,academic app,Domain-Specific Applications,,,
Jaykef/awesome-openAI,https://github.com/Jaykef/awesome-openAI,examples,Learning & Research,,parking app,Domain-Specific Applications,,,
IntelligenzaArtificiale/Free-Auto-GPT,https://github.com/IntelligenzaArtificiale/Free-Auto-GPT,agent,Software Development,,fashion app,Domain-Specific Applications,,,
FujiwaraChoki/Omni-GPT,https://github.com/FujiwaraChoki/Omni-GPT,website app,Software Development,,,,,,
Farama-Foundation/chatarena,https://github.com/Farama-Foundation/chatarena,game app,Domain-Specific Applications,,,,,,
craigsdennis/talks-wrapping-your-brain-around-langchain,https://github.com/craigsdennis/talks-wrapping-your-brain-around-langchain,chatbot/assistant,Software Development,,,,,,
FanaHOVA/smol-podcaster,https://github.com/FanaHOVA/smol-podcaster,podcast app,Domain-Specific Applications,,,,,,
BrettlyCD/text-to-sql,https://github.com/BrettlyCD/text-to-sql,research,Learning & Research,,,,,,
Azure-Samples/function-python-ai-langchain,https://github.com/Azure-Samples/function-python-ai-langchain,research,Learning & Research,,,,,,
AutoLLM/AutoAgents,https://github.com/AutoLLM/AutoAgents,research,Learning & Research,,,,,,
AugustWasilowski/SecondShiftAugie,https://github.com/AugustWasilowski/SecondShiftAugie,chatbot/assistant,Software Development,,,,,,
Ananya2001-an/Architect,https://github.com/Ananya2001-an/Architect,student project,Learning & Research,,,,,,
0ptim/JellyChat,https://github.com/0ptim/JellyChat,chatbot/assistant,Software Development,,,,,,
MokoSan/ShlokGPT,https://github.com/MokoSan/ShlokGPT,generator app,Domain-Specific Applications,,,,,,
Mj23978/sam-assistant,https://github.com/Mj23978/sam-assistant,chatbot/assistant,Software Development,,,,,,
NakulManchanda/lang,https://github.com/NakulManchanda/lang,underdeveloped,Underdeveloped,,,,,,
bigsky77/twitter-agent,https://github.com/bigsky77/twitter-agent,agent,Software Development,,,,,,
bflaven/ia_usages,https://github.com/bflaven/ia_usages,examples,Learning & Research,,,,,,
amosjyng/langchain-contrib,https://github.com/amosjyng/langchain-contrib,examples,Learning & Research,,,,,,
zainbaq/webgpt,https://github.com/zainbaq/webgpt,agent api,Software Development,,,,,,
alexdphan/babyagi-chroma-agent,https://github.com/alexdphan/babyagi-chroma-agent,agent,Software Development,,,,,,
ajithksenthil/PolicyWeb,https://github.com/ajithksenthil/PolicyWeb,policy/civic app,Domain-Specific Applications,,,,,,
adithya-s-k/Storyblocks,https://github.com/adithya-s-k/Storyblocks,video creation,Domain-Specific Applications,,,,,,
XinyueZ/chat-your-doc,https://github.com/XinyueZ/chat-your-doc,examples,Learning & Research,,,,,,
TiltonLAW/LegalWRITER,https://github.com/TiltonLAW/LegalWRITER,law app,Domain-Specific Applications,,,,,,
Sujan-Roy/Pet-Name-Generator-Application-using-Langchain-Framework,https://github.com/Sujan-Roy/Pet-Name-Generator-Application-using-Langchain-Framework,name generator app,Domain-Specific Applications,,,,,,
String-sg/chergpt2,https://github.com/String-sg/chergpt2,chatbot/assistant,Software Development,,,,,,
SammriddhGupta/Name-Gen,https://github.com/SammriddhGupta/Name-Gen,name generator app,Domain-Specific Applications,,,,,,
Safakan/TalkWithYourFiles,https://github.com/Safakan/TalkWithYourFiles,chatbot/assistant,Software Development,,,,,,
Rehan-stack/AI-Content-Writer,https://github.com/Rehan-stack/AI-Content-Writer,generator app,Domain-Specific Applications,,,,,,
shashnkvats/Chat-Wiki,https://github.com/shashnkvats/Chat-Wiki,chatbot/assistant,Software Development,,,,,,
hammad93/hurricane-net,https://github.com/hammad93/hurricane-net,weather forecast app,Domain-Specific Applications,,,,,,
goyal-anjali/portfolio-langchain,https://github.com/goyal-anjali/portfolio-langchain,finance app,Domain-Specific Applications,,,,,,
gojira/langchain,https://github.com/gojira/langchain,library/plugin,Software Development,,,,,,
hmdc/danswer-connector-request-tracker-rt,https://github.com/hmdc/danswer-connector-request-tracker-rt,chatbot/assistant,Software Development,,,,,,
htmw/SpotCheckAI,https://github.com/htmw/SpotCheckAI,health app,Domain-Specific Applications,,,,,,
jstzwj/ChatTester,https://github.com/jstzwj/ChatTester,research,Learning & Research,,,,,,
j-space-b/langchain,https://github.com/j-space-b/langchain,library/plugin,Software Development,,,,,,
jacklatrobe/YAGTA,https://github.com/jacklatrobe/YAGTA,agent api,Software Development,,,,,,
jbpayton/llm-auto-forge,https://github.com/jbpayton/llm-auto-forge,agent api,Software Development,,,,,,
jikebin/codeinterpreter-api,https://github.com/jikebin/codeinterpreter-api,library/plugin,Software Development,,,,,,
jina-ai/thinkgpt,https://github.com/jina-ai/thinkgpt,library/plugin,Software Development,,,,,,
jorjiiie/trinity,https://github.com/jorjiiie/trinity,student project,Learning & Research,,,,,,
goabiaryan/langchain,https://github.com/goabiaryan/langchain,library/plugin,Software Development,,,,,,
jvelezmagic/flow-genius,https://github.com/jvelezmagic/flow-genius,underdeveloped,Underdeveloped,,,,,,
kalchakra13/openai-cookbook,https://github.com/kalchakra13/openai-cookbook,examples,Learning & Research,,,,,,
karl-sparks/sparks-ai,https://github.com/karl-sparks/sparks-ai,resume generator,Domain-Specific Applications,,,,,,
kozodoi/ragas,https://github.com/kozodoi/ragas,library/plugin,Software Development,,,,,,
krarrobo1/financial-advisor,https://github.com/krarrobo1/financial-advisor,finance app,Domain-Specific Applications,,,,,,
ilyamk/Discord-AI-Chatbot,https://github.com/ilyamk/Discord-AI-Chatbot,platform bot,Software Development,,,,,,
gabrielcassimiro17/async-langchain,https://github.com/gabrielcassimiro17/async-langchain,examples,Learning & Research,,,,,,
cheng-lf/Free-AUTO-GPT-with-NO-API,https://github.com/cheng-lf/Free-AUTO-GPT-with-NO-API,agent,Software Development,,,,,,
fernandobh/gpt_mr_reviewer,https://github.com/fernandobh/gpt_mr_reviewer,toolkit,Software Development,,,,,,
austinmw/ragas,https://github.com/austinmw/ragas,library/plugin,Software Development,,,,,,
avkumar/codeinterpreter-api,https://github.com/avkumar/codeinterpreter-api,library/plugin,Software Development,,,,,,
avogabos/ai_security_starterkit,https://github.com/avogabos/ai_security_starterkit,security app,Domain-Specific Applications,,,,,,
bleys/OSNAP,https://github.com/bleys/OSNAP,agent api,Software Development,,,,,,
bradleypallen/conceptual-engineering-using-llms,https://github.com/bradleypallen/conceptual-engineering-using-llms,research,Learning & Research,,,,,,
c2siorg/b0bot,https://github.com/c2siorg/b0bot,toolkit,Software Development,,,,,,
ceferisbarov/ragas,https://github.com/ceferisbarov/ragas,library/plugin,Software Development,,,,,,
langchain-ai/langchain,https://github.com/langchain-ai/langchain,library/plugin,Software Development,,,,,,
codingchild2424/gpt-4-vision-for-eval,https://github.com/codingchild2424/gpt-4-vision-for-eval,underdeveloped,Underdeveloped,,,,,,
coffree0123/gpt-voice-assistant,https://github.com/coffree0123/gpt-voice-assistant,voice assistant,Software Development,,,,,,
dblasko/cv-job-matcher,https://github.com/dblasko/cv-job-matcher,job matching app,Domain-Specific Applications,,,,,,
dennisfelczy/OpenAI_Document_Analyzer,https://github.com/dennisfelczy/OpenAI_Document_Analyzer,examples,Learning & Research,,,,,,
despiegk/ai_playground,https://github.com/despiegk/ai_playground,examples,Learning & Research,,,,,,
docker/genai-stack,https://github.com/docker/genai-stack,toolkit,Software Development,,,,,,
drewgillson/googlepalm-minute-book-extraction,https://github.com/drewgillson/googlepalm-minute-book-extraction,document app,Software Development,,,,,,
dyllanwli/arcgis-code-interpreter,https://github.com/dyllanwli/arcgis-code-interpreter,research,Learning & Research,,,,,,
facebookresearch/personal-timeline,https://github.com/facebookresearch/personal-timeline,underdeveloped,Underdeveloped,,,,,,
faizanahemad/science-reader,https://github.com/faizanahemad/science-reader,underdeveloped,Underdeveloped,,,,,,
friedcheesee/InnerVerse,https://github.com/friedcheesee/InnerVerse,mental health app,Domain-Specific Applications,,,,,,
langchain-ai/langchain-teacher,https://github.com/langchain-ai/langchain-teacher,tutorial,Learning & Research,,,,,,
tehmasta/chatgpt-wrapper,https://github.com/tehmasta/chatgpt-wrapper,library/plugin,Software Development,,,,,,
linancn/TianGong-AI-Agent,https://github.com/linancn/TianGong-AI-Agent,underdeveloped,Underdeveloped,,,,,,
santiago-visanto/langchain-experiments,https://github.com/santiago-visanto/langchain-experiments,tutorial,Learning & Research,,,,,,
satelerd/GPT3-Models,https://github.com/satelerd/GPT3-Models,examples,Learning & Research,,,,,,
shadhav/bedrockDemo,https://github.com/shadhav/bedrockDemo,tutorial,Learning & Research,,,,,,
skypointcloud/spc-langchain,https://github.com/skypointcloud/spc-langchain,library/plugin,Software Development,,,,,,
arnaudsoullie/otsecgpt,https://github.com/arnaudsoullie/otsecgpt,examples,Learning & Research,,,,,,
theoracley/function-python-ai-langchain,https://github.com/theoracley/function-python-ai-langchain,backend api,Software Development,,,,,,
ueda-keisuke/ResumeOptimizer,https://github.com/ueda-keisuke/ResumeOptimizer,resume generator,Domain-Specific Applications,,,,,,
umd123/research3,https://github.com/umd123/research3,library/plugin,Software Development,,,,,,
wbsg-uni-mannheim/ExtractGPT,https://github.com/wbsg-uni-mannheim/ExtractGPT,research,Learning & Research,,,,,,
while-basic/chatarena,https://github.com/while-basic/chatarena,library/plugin,Software Development,,,,,,
xiaojingyi/chatgpt-wrapper,https://github.com/xiaojingyi/chatgpt-wrapper,backend api,Software Development,,,,,,
xpluscal/selfhealing-action-express,https://github.com/xpluscal/selfhealing-action-express,research,Learning & Research,,,,,,
yasyf/compress-gpt,https://github.com/yasyf/compress-gpt,library/plugin,Software Development,,,,,,
yasyf/summ,https://github.com/yasyf/summ,library/plugin,Software Development,,,,,,
yeoshuheng/travel-gpt,https://github.com/yeoshuheng/travel-gpt,travel app,Domain-Specific Applications,,,,,,
yeyu2/Youtube_demos,https://github.com/yeyu2/Youtube_demos,underdeveloped,Underdeveloped,,,,,,
yongchao98/NL2TL,https://github.com/yongchao98/NL2TL,research,Learning & Research,,,,,,
royca/yt-gpt,https://github.com/royca/yt-gpt,chatbot/assistant,Software Development,,,,,,
leemthompo/langchain,https://github.com/leemthompo/langchain,library/plugin,Software Development,,,,,,
robocorp/product_hour_remark_oct_examples,https://github.com/robocorp/product_hour_remark_oct_examples,underdeveloped,Underdeveloped,,,,,,
rheaton64/VoiceAssistantGUI,https://github.com/rheaton64/VoiceAssistantGUI,voice assistant,Software Development,,,,,,
lordlinus/Enterprise-ChatGPT,https://github.com/lordlinus/Enterprise-ChatGPT,examples,Learning & Research,,,,,,
mbchang/data-driven-characters,https://github.com/mbchang/data-driven-characters,chatbot/assistant,Software Development,,,,,,
mbchang/panel_simulation,https://github.com/mbchang/panel_simulation,entertainment app,Domain-Specific Applications,,,,,,
mcantillon21/quotifyai,https://github.com/mcantillon21/quotifyai,generator app,Domain-Specific Applications,,,,,,
metagov/d20-governance,https://github.com/metagov/d20-governance,game app,Domain-Specific Applications,,,,,,
microsoft/PodcastCopilot,https://github.com/microsoft/PodcastCopilot,social app,Software Development,,,,,,
nasa-petal/bidara,https://github.com/nasa-petal/bidara,chatbot/assistant,Software Development,,,,,,
nealm682/DIY-Shopping-List-Builder,https://github.com/nealm682/DIY-Shopping-List-Builder,examples,Learning & Research,,,,,,
nicknochnack/Nopenai,https://github.com/nicknochnack/Nopenai,tutorial,Learning & Research,,,,,,
nshuklaDS/LLMStack,https://github.com/nshuklaDS/LLMStack,toolkit,Software Development,,,,,,
nullzero-live/Gavin-A-GoodMidi,https://github.com/nullzero-live/Gavin-A-GoodMidi,music app,Domain-Specific Applications,,,,,,
pareenakaur/HackOverflow,https://github.com/pareenakaur/HackOverflow,finance app,Domain-Specific Applications,,,,,,
paulburkhardt/langfuse-python,https://github.com/paulburkhardt/langfuse-python,library/plugin,Software Development,,,,,,
pavelerokhin/prompt-engineering,https://github.com/pavelerokhin/prompt-engineering,examples,Learning & Research,,,,,,
pedromartinez3/AI-Integration-Showcase,https://github.com/pedromartinez3/AI-Integration-Showcase,examples,Learning & Research,,,,,,
pinecone-io/genqa-rag-demo,https://github.com/pinecone-io/genqa-rag-demo,research,Learning & Research,,,,,,
rajib76/langchain_examples,https://github.com/rajib76/langchain_examples,examples,Learning & Research,,,,,,
rbrands/OpenAI_Document_Analyzer_Demo,https://github.com/rbrands/OpenAI_Document_Analyzer_Demo,document app,Software Development,,,,,,
rishabhranawat/junto,https://github.com/rishabhranawat/junto,policy/civic app,Domain-Specific Applications,,,,,,
arm-diaz/ragas,https://github.com/arm-diaz/ragas,library/plugin,Software Development,,,,,,
parajbs/genai-stack,https://github.com/parajbs/genai-stack,tutorial,Learning & Research,,,,,,
Mr-Sure/langchain,https://github.com/Mr-Sure/langchain,library/plugin,Software Development,,,,,,
CorneliaMelon/Med-Xplain,https://github.com/CorneliaMelon/Med-Xplain,health app,Domain-Specific Applications,,,,,,
Soham-Dutta2023/ELI5,https://github.com/Soham-Dutta2023/ELI5,chatbot/assistant,Software Development,,,,,,
Chryron/ai-copilot,https://github.com/Chryron/ai-copilot,voice assistant,Software Development,,,,,,
SimonB97/BG3Chat,https://github.com/SimonB97/BG3Chat,game app,Domain-Specific Applications,,,,,,
GoldenWind8/swarms,https://github.com/GoldenWind8/swarms,agent api,Software Development,,,,,,
Ryguy-1/paperbox,https://github.com/Ryguy-1/paperbox,document app,Software Development,,,,,,
RohanDey02/langchain,https://github.com/RohanDey02/langchain,library/plugin,Software Development,,,,,,
ChangweiZhang/langchain-azure-openai,https://github.com/ChangweiZhang/langchain-azure-openai,library/plugin,Software Development,,,,,,
Pastorio/Langchain-Generate-Docstring-API,https://github.com/Pastorio/Langchain-Generate-Docstring-API,backend api,Software Development,,,,,,
JBX2060/GPT3Discord,https://github.com/JBX2060/GPT3Discord,platform bot,Software Development,,,,,,
CurryTang/Graph-LLM,https://github.com/CurryTang/Graph-LLM,research,Learning & Research,,,,,,
NicoManke/QuestGPT,https://github.com/NicoManke/QuestGPT,game app,Domain-Specific Applications,,,,,,
AAAATTIEH/auto-chain,https://github.com/AAAATTIEH/auto-chain,chatbot/assistant,Software Development,,,,,,
CSchnelle/bjork-album-generator,https://github.com/CSchnelle/bjork-album-generator,generator app,Domain-Specific Applications,,,,,,
LuckCow/ModularIntellect,https://github.com/LuckCow/ModularIntellect,agent,Software Development,,,,,,
JayZeeDesign/Discord-AI-Chatbot,https://github.com/JayZeeDesign/Discord-AI-Chatbot,platform bot,Software Development,,,,,,
AIAnytime/Quick-Minutes-of-Meeting-using-ChatGPT,https://github.com/AIAnytime/Quick-Minutes-of-Meeting-using-ChatGPT,generator app,Domain-Specific Applications,,,,,,
JoSeTe4ever/LLMozaic,https://github.com/JoSeTe4ever/LLMozaic,student project,Learning & Research,,,,,,
AZURE-ARC-0/genworlds,https://github.com/AZURE-ARC-0/genworlds,agent,Software Development,,,,,,
Leaking/langchain,https://github.com/Leaking/langchain,library/plugin,Software Development,,,,,,
AlHering/generative-ai-testbench,https://github.com/AlHering/generative-ai-testbench,toolkit,Software Development,,,,,,
AnasMations/StudySync,https://github.com/AnasMations/StudySync,generator app,Domain-Specific Applications,,,,,,
MindsFlow/langchain,https://github.com/MindsFlow/langchain,library/plugin,Software Development,,,,,,
Stevenic/alphawave-py,https://github.com/Stevenic/alphawave-py,toolkit,Software Development,,,,,,
Taytay/slack-langchain,https://github.com/Taytay/slack-langchain,underdeveloped,Underdeveloped,,,,,,
amalshaji/finetune-gpt,https://github.com/amalshaji/finetune-gpt,underdeveloped,Underdeveloped,,,,,,
alfredcs/dialogue-guided-x,https://github.com/alfredcs/dialogue-guided-x,toolkit,Software Development,,,,,,
Edgebrix/langchain,https://github.com/Edgebrix/langchain,library/plugin,Software Development,,,,,,
DCoinHub/ragas,https://github.com/DCoinHub/ragas,library/plugin,Software Development,,,,,,
albert-jin/agricultural_textual_classification_ChatGPT,https://github.com/albert-jin/agricultural_textual_classification_ChatGPT,research,Learning & Research,,,,,,
ai-cfia/louis-backend,https://github.com/ai-cfia/louis-backend,backend api,Software Development,,,,,,
aduchon/langchain,https://github.com/aduchon/langchain,library/plugin,Software Development,,,,,,
ademarc/langchain-discord-chatbot,https://github.com/ademarc/langchain-discord-chatbot,platform bot,Software Development,,,,,,
GengzeZhou/NavGPT,https://github.com/GengzeZhou/NavGPT,research,Learning & Research,,,,,,
ZoneSixGames/RoboTalk,https://github.com/ZoneSixGames/RoboTalk,generator app,Domain-Specific Applications,,,,,,
abhinand5/tamil-llama,https://github.com/abhinand5/tamil-llama,research,Learning & Research,,,,,,
Endpoce/QuickStockInfo,https://github.com/Endpoce/QuickStockInfo,finance app,Domain-Specific Applications,,,,,,
Techspresso/aletheia,https://github.com/Techspresso/aletheia,student project,Learning & Research,,,,,,
FlamingFury00/Free-AUTO-GPT-with-NO-API,https://github.com/FlamingFury00/Free-AUTO-GPT-with-NO-API,agent,Software Development,,,,,,
Yukino2002/Polkadot-Seoul,https://github.com/Yukino2002/Polkadot-Seoul,chatbot/assistant,Software Development,,,,,,
ULL-prompt-engineering/crash-course-for-beginners,https://github.com/ULL-prompt-engineering/crash-course-for-beginners,underdeveloped,Underdeveloped,,,,,,
Ubisoft-potato/notamAI,https://github.com/Ubisoft-potato/notamAI,backend api,Software Development,,,,,,
JustinGOSSES/LAGDAL,https://github.com/JustinGOSSES/LAGDAL,geography app,Domain-Specific Applications,,,,,,
FillerFree/Free-AUTO-GPT-with-NO-API,https://github.com/FillerFree/Free-AUTO-GPT-with-NO-API,agent,Software Development,,,,,,
whitesmith/ai-residency,https://github.com/whitesmith/ai-residency,examples,Learning & Research,,,,,,
muratali016/ChatGPT-Prompt-Assistant-and-Website-Chatbot,https://github.com/muratali016/ChatGPT-Prompt-Assistant-and-Website-Chatbot,chatbot/assistant,Software Development,,,,,,
bxxd/langwave,https://github.com/bxxd/langwave,underdeveloped,Underdeveloped,,,,,,
aws-samples/generative-ai-workshop-build-a-multifunctional-chatbot-on-sagemaker,https://github.com/aws-samples/generative-ai-workshop-build-a-multifunctional-chatbot-on-sagemaker,chatbot/assistant,Software Development,,,,,,
aws-samples/dialogue-idp,https://github.com/aws-samples/dialogue-idp,chatbot/assistant,Software Development,,,,,,
aws-samples/multi-tenant-chatbot-using-rag-with-amazon-bedrock,https://github.com/aws-samples/multi-tenant-chatbot-using-rag-with-amazon-bedrock,chatbot/assistant,Software Development,,,,,,
aws-samples/aws-iot-twinmaker-samples,https://github.com/aws-samples/aws-iot-twinmaker-samples,examples,Learning & Research,,,,,,
chinmay29hub/Hackerstellar-BootstrapParadox,https://github.com/chinmay29hub/Hackerstellar-BootstrapParadox,finance app,Domain-Specific Applications,,,,,,
clintonjules/cm1_code_assessment,https://github.com/clintonjules/cm1_code_assessment,underdeveloped,Underdeveloped,,,,,,
complaint-triage/triage,https://github.com/complaint-triage/triage,policy/civic app,Domain-Specific Applications,,,,,,
cathyxl/MAgIC,https://github.com/cathyxl/MAgIC,research,Learning & Research,,,,,,
JoyDajunSpaceCraft/ADRDYuelyu,https://github.com/JoyDajunSpaceCraft/ADRDYuelyu,research,Learning & Research,,,,,,
ataymano/rl_chain,https://github.com/ataymano/rl_chain,underdeveloped,Underdeveloped,,,,,,
AlmogBaku/wa-llm,https://github.com/AlmogBaku/wa-llm,platform bot,Software Development,,,,,,
AryPratap/Retrieval-Augmented-Generation-Chatbot-LLM,https://github.com/AryPratap/Retrieval-Augmented-Generation-Chatbot-LLM,underdeveloped,Underdeveloped,,,,,,
Bennett-Wendorf/LLMDB,https://github.com/Bennett-Wendorf/LLMDB,research,Learning & Research,,,,,,
ChrisLiang33/Pets-name-generator-langchain,https://github.com/ChrisLiang33/Pets-name-generator-langchain,name generator app,Domain-Specific Applications,,,,,,
Data-drone/ANZ_LLM_Bootcamp,https://github.com/Data-drone/ANZ_LLM_Bootcamp,student project,Learning & Research,,,,,,
Debaditya-Som/Grocerybot,https://github.com/Debaditya-Som/Grocerybot,chatbot/assistant,Software Development,,,,,,
Dranaxel/LLM-Static-Analysis,https://github.com/Dranaxel/LLM-Static-Analysis,toolkit,Software Development,,,,,,
Evgeny2411/teacherBot,https://github.com/Evgeny2411/teacherBot,academic app,Domain-Specific Applications,,,,,,
FISHers6/CodeLearn-Agent,https://github.com/FISHers6/CodeLearn-Agent,agent api,Software Development,,,,,,
Hansen-chen/AgentVerse,https://github.com/Hansen-chen/AgentVerse,agent api,Software Development,,,,,,
JelleZijlstra/langchain-template-poe-fastapi,https://github.com/JelleZijlstra/langchain-template-poe-fastapi,underdeveloped,Underdeveloped,,,,,,
aws-samples/amazon-bedrock-prompting,https://github.com/aws-samples/amazon-bedrock-prompting,examples,Learning & Research,,,,,,
JustinZarb/natural_maps,https://github.com/JustinZarb/natural_maps,geography app,Domain-Specific Applications,,,,,,
KannerMan/AI_Dividend,https://github.com/KannerMan/AI_Dividend,underdeveloped,Underdeveloped,,,,,,
KularatnaS/langchain-youtube-assistant,https://github.com/KularatnaS/langchain-youtube-assistant,chatbot/assistant,Software Development,,,,,,
Revathi2604/Langchain-chat,https://github.com/Revathi2604/Langchain-chat,chatbot/assistant,Software Development,,,,,,
RexJensen/AI-Assistant-Plus,https://github.com/RexJensen/AI-Assistant-Plus,voice assistant,Software Development,,,,,,
SiddharthUchil/ViLT-Vision-and-Language,https://github.com/SiddharthUchil/ViLT-Vision-and-Language,chatbot/assistant,Software Development,,,,,,
Twifor/alm_test,https://github.com/Twifor/alm_test,underdeveloped,Underdeveloped,,,,,,
databricks/databricks-ml-examples,https://github.com/databricks/databricks-ml-examples,examples,Learning & Research,,,,,,
VowpalWabbit/rl_chain,https://github.com/VowpalWabbit/rl_chain,examples,Learning & Research,,,,,,
Yajiehan/ML-CustomerServiceSupport-Node.js,https://github.com/Yajiehan/ML-CustomerServiceSupport-Node.js,underdeveloped,Underdeveloped,,,,,,
agplusman/Discord-AI-Chatbot,https://github.com/agplusman/Discord-AI-Chatbot,platform bot,Software Development,,,,,,
akiyomov/OpenAI-Telegram-bot,https://github.com/akiyomov/OpenAI-Telegram-bot,IM chatbot,Software Development,,,,,,
andylolu2/anthropic-hackathon,https://github.com/andylolu2/anthropic-hackathon,student project,Learning & Research,,,,,,
KannerMan/AI_Div_3.1_open,https://github.com/KannerMan/AI_Div_3.1_open,underdeveloped,Underdeveloped,,,,,,
deejungx/streamlit-demo-lp,https://github.com/deejungx/streamlit-demo-lp,examples,Learning & Research,,,,,,
jacoblee93/oss-model-extraction-evals,https://github.com/jacoblee93/oss-model-extraction-evals,examples,Learning & Research,,,,,,
dimz119/learn-openai,https://github.com/dimz119/learn-openai,tutorial,Learning & Research,,,,,,
os1ma/langchain-practice,https://github.com/os1ma/langchain-practice,underdeveloped,Underdeveloped,,,,,,
patrickmaub/student-copilot,https://github.com/patrickmaub/student-copilot,academic app,Domain-Specific Applications,,,,,,
pauliusrauba/LLMs_interface,https://github.com/pauliusrauba/LLMs_interface,research,Learning & Research,,,,,,
prof-frink-lab/slangchain,https://github.com/prof-frink-lab/slangchain,examples,Learning & Research,,,,,,
sahilshaheen/frida,https://github.com/sahilshaheen/frida,academic app,Domain-Specific Applications,,,,,,
sgreenb/pico_assistant,https://github.com/sgreenb/pico_assistant,chatbot/assistant,Software Development,,,,,,
